,Entity,Code,Year,Imported Deforestation,Net Traded Deforestation,Population,per Capita Imported Deforestation,per Capita Net Traded Deforestation
181,Bosnia and Herzegovina,BIH,2006,1034.2814581774342,1034.2814581774342,3765422.0,0.0002746787632773788,0.0002746787632773788
182,Bosnia and Herzegovina,BIH,2007,927.4697520673238,927.4697520673238,3762791.0,0.000246484524935699,0.000246484524935699
183,Bosnia and Herzegovina,BIH,2008,888.0966309760327,888.0966309760327,3754261.0,0.0002365569764531642,0.0002365569764531642
184,Bosnia and Herzegovina,BIH,2009,706.1314863358123,706.1314863358123,3735945.0,0.00018901013969311976,0.00018901013969311976
185,Bosnia and Herzegovina,BIH,2010,561.1491182849487,561.1491182849487,3705478.0,0.00015143771418557841,0.00015143771418557841
186,Bosnia and Herzegovina,BIH,2011,481.3237411861324,481.3237411861324,3661173.0,0.00013146708478024185,0.00013146708478024185
187,Bosnia and Herzegovina,BIH,2012,551.6481902118034,551.6481902118034,3604972.0,0.00015302426487967267,0.00015302426487967267
188,Bosnia and Herzegovina,BIH,2013,533.1941440209536,533.1941440209536,3542598.0,0.00015050935613381862,0.00015050935613381862
189,Botswana,BWA,2005,31.88795927802103,2.4345447517444114,1799077.0,1.772462172437368e-05,1.3532187625901568e-06
190,Botswana,BWA,2006,42.29031921260594,26.81745529757994,1835911.0,2.3035059549512987e-05,1.4607165215296352e-05
191,Botswana,BWA,2007,416.9900840125669,355.4899395069313,1875458.0,0.00022234040112472097,0.00018954833406396269
192,Botswana,BWA,2008,357.1755042613662,317.35382542697363,1915636.0,0.00018645269991865167,0.00016566499346795197
193,Botswana,BWA,2009,560.3536455502403,518.1113267976992,1953495.0,0.000286846726277897,0.000265222755521616
194,Botswana,BWA,2010,776.2450900399164,729.5391387415025,1987106.0,0.00039064100759592915,0.0003671364983757799
195,Botswana,BWA,2011,435.7265599462796,423.1259251160439,2015406.0,0.00021619790749173102,0.00020994575044236443
196,Botswana,BWA,2012,1227.523235680069,1225.3033518740124,2039551.0,0.0006018595444193693,0.0006007711265244225
197,Botswana,BWA,2013,973.4923123361172,954.2185153865008,2062551.0,0.00047198460175584367,0.00046263996157501117
198,Brazil,BRA,2005,15707.33144164062,-490102.685177424,186127108.0,8.439034813585896e-05,-0.002633161232900175
199,Brazil,BRA,2006,15199.871825420996,-447555.8736959181,188167353.0,8.077847502813624e-05,-0.0023784990677735585
200,Brazil,BRA,2007,20101.836007149657,-367228.614043216,190130445.0,0.0001057265500385783,-0.0019314561328840102
201,Brazil,BRA,2008,26418.938199674245,-249158.06227307604,192030362.0,0.00013757688067928678,-0.0012974930613997178
202,Brazil,BRA,2009,41847.563762230566,-193571.9999891873,193886505.0,0.00021583536080672848,-0.0009983778911749803
203,Brazil,BRA,2010,39587.72144783312,-216446.5259123224,195713637.0,0.00020227369975160762,-0.0011059348200264778
204,Brazil,BRA,2011,38832.59675729904,-221182.0428120338,197514541.0,0.0001966062678762423,-0.0011198266299392802
205,Brazil,BRA,2012,49334.82538843574,-300611.9940675446,199287292.0,0.00024755630373278264,-0.0015084353400092595
206,Brazil,BRA,2013,37769.96781122242,-329112.99874438066,201035904.0,0.00018787672778700475,-0.0016370856757227836
207,Brunei,BRN,2005,135.01101105325858,-77.9410464425415,365112.0,0.0003697797143157677,-0.0002134716099239179
208,Brunei,BRN,2006,204.4966961384796,99.24300124988928,370262.0,0.0005523026833390399,0.0002680345302782605
209,Brunei,BRN,2007,176.93956013123525,-360.5443357868885,374967.0,0.00047188035248764626,-0.0009615361772819702
210,Brunei,BRN,2008,140.93552586536396,80.06216633172221,379418.0,0.0003714518706686661,0.0002110130946125967
211,Brunei,BRN,2009,176.36624461349356,104.76442630636996,383902.0,0.00045940433916336347,0.0002728936715786059
212,Brunei,BRN,2010,168.40914232041916,134.45174040648988,388634.0,0.00043333610111420814,0.00034595979869617654
213,Brunei,BRN,2011,180.4652298997005,164.9779942095613,393687.0,0.0004583977370339902,0.0004190587807307869
214,Brunei,BRN,2012,215.63773706112363,214.25824788898933,398997.0,0.0005404495198237672,0.0005369921274821348
215,Brunei,BRN,2013,257.15585704290254,240.30952776352365,404414.0,0.0006358727864092305,0.0005942166387996549
216,Bulgaria,BGR,2005,9578.184352500182,9578.184352500182,7686964.0,0.0012460295576381237,0.0012460295576381237
217,Bulgaria,BGR,2006,10710.997790877427,10710.997790877427,7631020.0,0.0014036128578980827,0.0014036128578980827
218,Bulgaria,BGR,2007,1363.9428158036278,1363.9428158036278,7576675.0,0.000180018651427391,0.000180018651427391
219,Bulgaria,BGR,2008,1401.0656743337374,1401.0656743337374,7524084.0,0.00018621079646821294,0.00018621079646821294
220,Bulgaria,BGR,2009,1651.106294732525,1651.106294732525,7473509.0,0.0002209278525967554,0.0002209278525967554
