,Entity,Code,Year,Net_traded_Deforestation
356,Costa Rica,CRI,2010,-1799.567293934835
357,Costa Rica,CRI,2011,-1539.6451879507213
358,Costa Rica,CRI,2012,-1521.324062394703
359,Costa Rica,CRI,2013,-369.43960635786607
360,Cote d'Ivoire,CIV,2005,-35595.98850473291
361,Cote d'Ivoire,CIV,2006,-43470.80351401084
362,Cote d'Ivoire,CIV,2007,-39956.39021802004
363,Cote d'Ivoire,CIV,2008,-32196.790279983565
364,Cote d'Ivoire,CIV,2009,-28417.448994664155
365,Cote d'Ivoire,CIV,2010,-15571.20878516233
366,Cote d'Ivoire,CIV,2011,-7470.613131337035
367,Cote d'Ivoire,CIV,2012,-2352.3699071651627
368,Cote d'Ivoire,CIV,2013,-3246.5942171181487
369,Croatia,HRV,2005,1631.4015496348482
370,Croatia,HRV,2006,1706.7051742954989
371,Croatia,HRV,2007,1588.3840849779313
372,Croatia,HRV,2008,1120.233069708397
373,Croatia,HRV,2009,903.6928756621978
374,Croatia,HRV,2010,818.6889584583935
375,Croatia,HRV,2011,733.3937890391115
376,Croatia,HRV,2012,915.0281007629586
377,Croatia,HRV,2013,741.4627994139273
378,Cuba,CUB,2005,2139.6619292406613
379,Cuba,CUB,2006,2748.2506836804787
380,Cuba,CUB,2007,1269.1619656694438
381,Cuba,CUB,2008,1604.2972848487498
382,Cuba,CUB,2009,638.2049164945329
383,Cuba,CUB,2010,1732.569654400506
384,Cuba,CUB,2011,1824.806725029539
385,Cuba,CUB,2012,2115.750544185348
386,Cuba,CUB,2013,2297.339746490012
387,Cyprus,CYP,2005,588.4429074100572
388,Cyprus,CYP,2006,528.1658367893812
389,Cyprus,CYP,2007,585.6011080916803
390,Cyprus,CYP,2008,677.7359038013749
391,Cyprus,CYP,2009,643.2283284270792
392,Cyprus,CYP,2010,456.11392148681455
393,Cyprus,CYP,2011,386.8002215653389
394,Cyprus,CYP,2012,452.7347232445656
395,Cyprus,CYP,2013,367.7911922539811
396,Democratic Republic of Congo,COD,2005,701.0775392677533
397,Democratic Republic of Congo,COD,2006,660.1088237481454
398,Democratic Republic of Congo,COD,2007,1378.3254617562343
399,Democratic Republic of Congo,COD,2008,1437.695382201433
400,Democratic Republic of Congo,COD,2009,-1722.0653776262188
401,Democratic Republic of Congo,COD,2010,-176.66817215557967
402,Democratic Republic of Congo,COD,2011,1341.2695277262535
403,Democratic Republic of Congo,COD,2012,1437.8879568167176
404,Democratic Republic of Congo,COD,2013,1530.497026369456
405,Denmark,DNK,2005,5967.090391882574
406,Denmark,DNK,2006,5191.716871511955
407,Denmark,DNK,2007,4730.60381099486
408,Denmark,DNK,2008,3985.135589593306
409,Denmark,DNK,2009,4432.20328821127
410,Denmark,DNK,2010,4020.957596029464
411,Denmark,DNK,2011,4341.193227885779
412,Denmark,DNK,2012,4052.355998732073
413,Denmark,DNK,2013,2959.179475920687
414,Djibouti,DJI,2005,397.7590565474455
415,Djibouti,DJI,2006,1366.587473773464
416,Djibouti,DJI,2007,1456.1584044232563
417,Djibouti,DJI,2008,1135.0944489883334
418,Djibouti,DJI,2009,1464.7568636923972
419,Djibouti,DJI,2010,1454.1649202408128
420,Djibouti,DJI,2011,2598.799476557449
421,Djibouti,DJI,2012,4310.76149152313
422,Djibouti,DJI,2013,3679.354354821133
423,Dominica,DMA,2005,6.623912702171776
424,Dominica,DMA,2006,5.1428391298865765
425,Dominica,DMA,2007,1.7636065100445744
426,Dominica,DMA,2008,2.1941716913083136
427,Dominica,DMA,2009,2.701826305288045
428,Dominica,DMA,2010,1.7783755346300023
429,Dominica,DMA,2011,2.2188355659985595
430,Dominica,DMA,2012,0.6779192406687001
431,Dominica,DMA,2013,0.8473112757999801
432,Dominican Republic,DOM,2005,1231.5808307116697
