,Entity,Code,Year,Imported Deforestation
400,Democratic Republic of Congo,COD,2009,1405.2493267480604
401,Democratic Republic of Congo,COD,2010,1543.5041238878912
402,Democratic Republic of Congo,COD,2011,1682.1204482836038
403,Democratic Republic of Congo,COD,2012,1787.079339434713
404,Democratic Republic of Congo,COD,2013,2138.80815867371
405,Denmark,DNK,2005,5967.090391882574
406,Denmark,DNK,2006,5191.716871511955
407,Denmark,DNK,2007,4730.60381099486
408,Denmark,DNK,2008,3985.135589593306
409,Denmark,DNK,2009,4432.20328821127
410,Denmark,DNK,2010,4020.957596029464
411,Denmark,DNK,2011,4341.193227885779
412,Denmark,DNK,2012,4052.355998732073
413,Denmark,DNK,2013,2959.179475920687
414,Djibouti,DJI,2005,397.7590565474455
415,Djibouti,DJI,2006,1366.587473773464
416,Djibouti,DJI,2007,1456.1584044232563
417,Djibouti,DJI,2008,1135.0944489883334
418,Djibouti,DJI,2009,1464.7568636923972
419,Djibouti,DJI,2010,1454.1649202408128
420,Djibouti,DJI,2011,2598.799476557449
421,Djibouti,DJI,2012,4310.76149152313
422,Djibouti,DJI,2013,3679.354354821133
423,Dominica,DMA,2005,6.623912702171776
424,Dominica,DMA,2006,5.1428391298865765
425,Dominica,DMA,2007,1.7636065100445744
426,Dominica,DMA,2008,2.1941716913083136
427,Dominica,DMA,2009,2.701826305288045
428,Dominica,DMA,2010,1.7783755346300023
429,Dominica,DMA,2011,2.2188355659985595
430,Dominica,DMA,2012,0.6779192406687001
431,Dominica,DMA,2013,0.8473112757999801
432,Dominican Republic,DOM,2005,1372.6471537050202
433,Dominican Republic,DOM,2006,979.1834447569744
434,Dominican Republic,DOM,2007,874.53026581021
435,Dominican Republic,DOM,2008,906.838043932994
436,Dominican Republic,DOM,2009,891.3523519412174
437,Dominican Republic,DOM,2010,1653.9776468651544
438,Dominican Republic,DOM,2011,1525.6515109388292
439,Dominican Republic,DOM,2012,3462.847271339502
440,Dominican Republic,DOM,2013,2134.527925103936
441,Ecuador,ECU,2005,2244.1017084642863
442,Ecuador,ECU,2006,2774.657866000889
443,Ecuador,ECU,2007,2676.7356159144983
444,Ecuador,ECU,2008,3437.2833839880914
445,Ecuador,ECU,2009,4129.090051978506
446,Ecuador,ECU,2010,3341.4779537550385
447,Ecuador,ECU,2011,3557.140027622947
448,Ecuador,ECU,2012,2687.158391763569
449,Ecuador,ECU,2013,1861.36247540524
450,Egypt,EGY,2005,33345.75037693067
451,Egypt,EGY,2006,43026.19822253586
452,Egypt,EGY,2007,32999.073146141374
453,Egypt,EGY,2008,24416.45691736247
454,Egypt,EGY,2009,12113.844879341805
455,Egypt,EGY,2010,37429.91299228116
456,Egypt,EGY,2011,28909.84133957946
457,Egypt,EGY,2012,42119.3540930024
458,Egypt,EGY,2013,41038.2246317709
459,El Salvador,SLV,2005,4263.078226359984
460,El Salvador,SLV,2006,4280.101684915857
461,El Salvador,SLV,2007,4697.289841572983
462,El Salvador,SLV,2008,5301.467764669807
463,El Salvador,SLV,2009,5743.178692849789
464,El Salvador,SLV,2010,4968.021941126104
465,El Salvador,SLV,2011,4389.748689785439
466,El Salvador,SLV,2012,3602.102261718522
467,El Salvador,SLV,2013,3239.938935997133
468,Equatorial Guinea,GNQ,2005,282.2279090514494
469,Equatorial Guinea,GNQ,2006,161.80836800291968
470,Equatorial Guinea,GNQ,2007,284.6623736248669
471,Equatorial Guinea,GNQ,2008,282.46515732126176
472,Equatorial Guinea,GNQ,2009,194.47879173924247
473,Equatorial Guinea,GNQ,2010,128.46672076045488
474,Equatorial Guinea,GNQ,2011,194.2103533298927
475,Equatorial Guinea,GNQ,2012,188.81950743820371
476,Equatorial Guinea,GNQ,2013,200.0326345717956
477,Eritrea,ERI,2005,81.81945382018384
478,Eritrea,ERI,2006,36.22651734925624
479,Eritrea,ERI,2007,33.77784388416208
480,Eritrea,ERI,2008,27.22043494132661
481,Eritrea,ERI,2009,66.72235210379625
482,Eritrea,ERI,2010,37.959392893613725
483,Eritrea,ERI,2011,111.79704682050608
484,Eritrea,ERI,2012,79.72067725853852
485,Eritrea,ERI,2013,90.4339144791915
486,Estonia,EST,2005,236.64545802442169
487,Estonia,EST,2006,267.00562862221864
488,Estonia,EST,2007,352.1651294957718
489,Estonia,EST,2008,214.2830200657613
490,Estonia,EST,2009,212.29284225262293
491,Estonia,EST,2010,186.8700633472539
492,Estonia,EST,2011,233.65890242819145
493,Estonia,EST,2012,292.23187960460706
494,Estonia,EST,2013,356.7086262012318
495,Ethiopia,ETH,2005,207.72003173726264
496,Ethiopia,ETH,2006,294.15732202030813
497,Ethiopia,ETH,2007,537.9305456734946
498,Ethiopia,ETH,2008,1083.3079344846155
499,Ethiopia,ETH,2009,1509.380204537727
500,Ethiopia,ETH,2010,1844.9689613384544
501,Ethiopia,ETH,2011,2448.529965162801
502,Ethiopia,ETH,2012,4462.491289955775
503,Ethiopia,ETH,2013,3475.7472078161227
504,Fiji,FJI,2005,131.30427944260862
505,Fiji,FJI,2006,142.28110102856
506,Fiji,FJI,2007,165.11583272385553
507,Fiji,FJI,2008,170.18595730848438
508,Fiji,FJI,2009,179.41035369789574
509,Fiji,FJI,2010,181.9788580830322
510,Fiji,FJI,2011,178.54991114551046
511,Fiji,FJI,2012,183.2383084003385
512,Fiji,FJI,2013,120.66626347703108
513,Finland,FIN,2005,2329.350317770145
514,Finland,FIN,2006,1986.3737045773416
515,Finland,FIN,2007,2639.791640747863
516,Finland,FIN,2008,2103.82937696088
517,Finland,FIN,2009,1864.770879133472
518,Finland,FIN,2010,2008.8793961290469
519,Finland,FIN,2011,1706.7450247267586
520,Finland,FIN,2012,2448.482457802878
521,Finland,FIN,2013,1388.855756683662
522,France,FRA,2005,39049.00127015411
523,France,FRA,2006,36215.11105849618
524,France,FRA,2007,32482.639386598992
525,France,FRA,2008,29031.762760887
526,France,FRA,2009,26503.01263233088
527,France,FRA,2010,24171.714236792875
528,France,FRA,2011,23363.77182433053
529,France,FRA,2012,25091.081856529177
530,France,FRA,2013,21888.559406761666
531,French Guiana,GUF,2005,0.0
532,French Guiana,GUF,2006,0.0
533,French Guiana,GUF,2007,0.0
534,French Guiana,GUF,2008,0.0
535,French Guiana,GUF,2009,0.0
536,French Guiana,GUF,2010,0.0
537,French Guiana,GUF,2011,0.0
538,French Guiana,GUF,2012,0.0
539,French Guiana,GUF,2013,0.0
540,French Polynesia,PYF,2005,90.40063278700454
541,French Polynesia,PYF,2006,169.59002882417627
542,French Polynesia,PYF,2007,395.5386844630799
543,French Polynesia,PYF,2008,228.6491392588379
544,French Polynesia,PYF,2009,97.27309760748656
545,French Polynesia,PYF,2010,104.20793753810878
546,French Polynesia,PYF,2011,102.08319577620038
547,French Polynesia,PYF,2012,93.49245206305127
548,French Polynesia,PYF,2013,101.02333601311778
549,Gabon,GAB,2005,569.0582127231996
550,Gabon,GAB,2006,595.996516206324
551,Gabon,GAB,2007,619.4469619174351
552,Gabon,GAB,2008,507.46557565528656
553,Gabon,GAB,2009,709.4225592087123
554,Gabon,GAB,2010,465.5658677896509
555,Gabon,GAB,2011,492.6066203862165
556,Gabon,GAB,2012,493.12302965654544
557,Gabon,GAB,2013,476.9570361787587
558,Gambia,GMB,2005,342.8153365280088
559,Gambia,GMB,2006,431.9437364362503
560,Gambia,GMB,2007,326.116532353336
561,Gambia,GMB,2008,254.6505374309825
562,Gambia,GMB,2009,690.129265526887
563,Gambia,GMB,2010,572.5560880555968
564,Gambia,GMB,2011,773.2159680418773
565,Gambia,GMB,2012,698.7360257837274
566,Gambia,GMB,2013,128.90233627073013
567,Georgia,GEO,2005,519.7614798657706
568,Georgia,GEO,2006,596.6114763726274
569,Georgia,GEO,2007,606.9977172461606
570,Georgia,GEO,2008,603.5908428496654
571,Georgia,GEO,2009,487.1544659966498
572,Georgia,GEO,2010,492.31749069983584
573,Georgia,GEO,2011,703.0249488715591
574,Georgia,GEO,2012,1157.3287531756164
575,Georgia,GEO,2013,902.3800168259085
576,Germany,DEU,2005,46834.52913764328
577,Germany,DEU,2006,48728.38627927452
578,Germany,DEU,2007,51240.46001920746
579,Germany,DEU,2008,45485.67892834225
580,Germany,DEU,2009,48914.77767460314
581,Germany,DEU,2010,46622.59161515343
582,Germany,DEU,2011,42165.76320807876
583,Germany,DEU,2012,45163.42441463516
584,Germany,DEU,2013,36883.039541359256
585,Ghana,GHA,2005,1256.9366398512975
586,Ghana,GHA,2006,1641.7318023345797
587,Ghana,GHA,2007,1479.9421954053323
588,Ghana,GHA,2008,1441.0375123911365
589,Ghana,GHA,2009,1353.6735957233325
590,Ghana,GHA,2010,1483.505898231073
591,Ghana,GHA,2011,1773.829520347539
592,Ghana,GHA,2012,1666.7771381865605
593,Ghana,GHA,2013,1721.6030789302931
594,Greece,GRC,2005,5784.442423236345
595,Greece,GRC,2006,6346.661807395725
596,Greece,GRC,2007,6509.398309002201
597,Greece,GRC,2008,5387.7575903489005
598,Greece,GRC,2009,6728.903705421539
599,Greece,GRC,2010,5237.849038267371
600,Greece,GRC,2011,4902.038650421031
601,Greece,GRC,2012,6206.695524046101
602,Greece,GRC,2013,4655.669463512233
603,Grenada,GRD,2005,81.3853222116429
604,Grenada,GRD,2006,66.20026893701275
605,Grenada,GRD,2007,52.47789716801019
