"","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Forest expansion (1000 ha/year)","Forest expansion (1000 ha/year)","Forest expansion (1000 ha/year)","Forest expansion (1000 ha/year)","…of which afforestation (1000 ha/year)","…of which afforestation (1000 ha/year)","…of which afforestation (1000 ha/year)","…of which afforestation (1000 ha/year)","…of which natural expansion (1000 ha/year)","…of which natural expansion (1000 ha/year)","…of which natural expansion (1000 ha/year)","…of which natural expansion (1000 ha/year)"
"","1990-2000","2000-2010","2010-2015","2015-2020","1990-2000","2000-2010","2010-2015","2015-2020","1990-2000","2000-2010","2010-2015","2015-2020","1990-2000","2000-2010","2010-2015","2015-2020"
"Togo","10.32","4.46","4.96","4.96","1.00","1.50","2.00","2.00","1.00","1.50","2.00","2.00","","","",""
"Tokelau (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tonga","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","","","","","","","","","","","","","","","",""
"Tunisia","4.32","4.34","1.42","0.57","6.71","6.30","2.95","2.10","6.71","6.30","2.95","2.10","0.00","0.00","0.00","0.00"
"Turkey","2.22","1.38","1.03","1.17","38.71","94.85","110.47","119.18","22.65","62.91","75.36","80.20","16.06","31.94","35.11","38.98"
"Turkmenistan (Desk study)","","","","","","","","","","","","","","","",""
"Turks and Caicos Islands (Desk study)","","","","","","","","","","","","","","","",""
"Tuvalu","","","","","","","","","","","","","","","",""
"Uganda","51.09","51.09","51.09","51.09","9.84","9.84","9.84","9.84","9.84","9.84","9.84","9.84","","","",""
"Ukraine","0.50","1.03","0.40","0.10","24.10","4.83","22.20","6.70","8.00","4.00","14.50","6.00","","","","0.70"
"United Arab Emirates (Desk study)","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","","0.20","0.50","","","10.70","19.70","","","","","","","","",""
"United Republic of Tanzania","400.00","400.00","372.00","474.00","28.00","28.00","0.00","5.00","","","","","","","",""
"United States of America","0.00","0.00","0.00","","108.60","518.40","275.00","","59.73","259.00","247.00","","48.90","259.00","28.00",""
"United States Virgin Islands","","","","","","","","","","","","","","","",""
"Uruguay","","0.66","1.83","","","36.89","39.57","","","35.00","18.40","","","0.56","17.51",""
"Uzbekistan","0.79","5.00","1.04","14.15","42.00","43.81","41.00","42.20","35.40","38.00","23.10","26.90","5.80","6.20","3.70","4.40"
"Vanuatu","","","","","","","","","","","","","","","",""
"Venezuela (Bolivarian Republic of)","303.85","183.99","182.27","108.29","16.35","19.39","17.87","17.87","16.35","19.39","17.87","17.87","","","",""
"Viet Nam","0.00","0.00","25.86","1.59","240.81","160.40","160.62","117.84","117.46","116.37","160.62","97.54","123.40","43.98","0.00","20.30"
"Wallis and Futuna Islands (Desk study)","","","","","","","","","","","","","","","",""
"Western Sahara (Desk study)","","","","","","","","","","","","","","","",""
"Yemen","","","","","","","","","","","","","","","",""
"Zambia","","36.25","189.68","189.71","","0.45","1.50","1.50","","","","","","","",""
"Zimbabwe","46.07","46.07","46.07","46.07","0.00","0.00","0.00","0.00","","","","","","","",""
"© FRA 2022","","","","","","","","","","","","","","","",""
"2022-01-07","","","","","","","","","","","","","","","",""
