"","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )"
"","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020"
"Sint Maarten (Dutch part) (Desk study)","0.37","0.37","0.37","0.37","0.37","0.37","0.37","0.37","0.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Slovakia","1163.69","1146.33","1176.71","1174.91","1176.14","1177.36","1177.36","1177.36","1177.36","738.79","755.08","741.20","746.84","747.23","748.54","748.54","748.54","748.54","0.00","0.88","8.79","8.68","8.56","8.45","8.45","8.45","8.45","0.00","0.88","8.79","8.68","8.56","8.45","8.45","8.45","8.45","738.79","754.20","732.41","738.16","738.67","740.09","740.09","740.09","740.09"
"Slovenia","1154.00","1185.10","1179.80","1203.11","1201.00","1198.32","1195.93","1194.53","1192.14","34.00","47.90","67.20","44.89","45.25","45.61","45.97","45.33","45.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34.00","47.90","67.20","44.89","45.25","45.61","45.97","45.33","45.69"
"Solomon Islands","2503.00","2504.96","2503.63","2501.16","2500.67","2500.17","2499.68","2499.19","2498.70","41.04","32.64","26.65","25.46","25.22","24.99","24.75","24.51","24.27","39.89","31.82","25.90","24.55","24.28","24.01","23.74","23.47","23.20","39.89","31.82","25.90","24.55","24.28","24.01","23.74","23.47","23.20","1.15","0.82","0.75","0.91","0.94","0.98","1.01","1.04","1.07"
"Somalia","8279.50","7512.00","6744.50","6360.75","6284.00","6207.25","6130.50","6053.75","5977.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"South Africa","14998.47","14634.47","14270.47","14088.47","14052.07","14015.67","13979.27","13942.87","13906.47","3143.62","3143.62","3143.62","3143.62","3143.62","3143.62","3143.62","3143.62","3143.62","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1270.00","1873.62","1873.62","1873.62","1873.62","1873.62","1873.62","1873.62","1873.62","1873.62"
"South Sudan","6969.10","6969.10","6969.10","6969.10","6969.10","6969.10","6969.10","6969.10","6969.10","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","187.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Spain","11959.48","14702.58","15948.85","15931.65","15971.49","15972.67","15975.81","15978.94","15982.08","1945.19","2391.34","2596.49","2619.53","2583.74","2586.64","2587.78","2588.94","2590.10","758.54","932.52","1015.00","1016.68","1014.76","1001.07","1002.14","1003.22","1004.30","700.67","861.37","938.12","939.36","937.45","923.75","924.67","925.58","926.50","1186.65","1458.82","1581.49","1602.85","1568.98","1585.57","1585.64","1585.72","1585.80"
"Sri Lanka","2093.50","1932.59","1897.80","1880.50","1877.04","1873.58","1870.13","1866.67","1863.21","256.83","233.83","205.82","248.32","248.62","248.92","249.21","249.51","249.81","256.83","233.83","205.82","248.32","248.62","248.92","249.21","249.51","249.81","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sudan","23450.31","21701.16","19954.17","19079.93","18918.19","18746.03","18573.87","18401.71","18229.55","120.00","125.00","127.00","130.00","130.00","130.00","130.00","130.00","130.00","120.00","125.00","127.00","130.00","130.00","130.00","130.00","130.00","130.00","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Suriname","15364.63","15326.72","15285.71","15237.52","15226.17","15218.87","15206.63","15194.38","15182.14","13.00","14.15","14.15","14.15","14.15","14.15","14.15","14.15","14.15","13.00","13.00","13.00","13.00","13.00","13.00","13.00","13.00","13.00","7.00","7.00","7.00","7.00","7.00","7.00","7.00","7.00","7.00","0.00","1.15","1.15","1.15","1.15","1.15","1.15","1.15","1.15"
"Svalbard and Jan Mayen Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sweden","19974.00","17845.00","15592.00","14754.00","14767.00","14588.00","14415.00","14241.00","14068.00","8089.00","10318.00","12481.00","13226.00","13213.00","13392.00","13565.00","13739.00","13912.00","","590.00","683.00","382.00","382.00","382.00","382.00","382.00","382.00","","70.00","105.00","63.00","63.00","63.00","63.00","63.00","63.00","8089.00","9728.00","11798.00","12844.00","12831.00","13010.00","13183.00","13357.00","13530.00"
"Switzerland","971.00","1024.29","1074.00","1097.00","1101.60","1106.19","1110.78","1115.37","1119.96","182.30","171.70","160.53","154.71","153.56","152.40","151.25","150.10","148.95","0.82","0.82","0.82","0.81","0.81","0.81","0.81","0.81","0.81","0.19","0.19","0.19","0.19","0.19","0.19","0.19","0.19","0.19","181.48","170.88","159.71","153.90","152.75","151.59","150.44","149.29","148.14"
"Syrian Arab Republic","223.28","259.28","295.68","325.68","325.68","322.68","319.68","316.68","310.68","148.80","172.80","196.40","196.40","196.40","199.40","202.40","205.40","211.40","148.80","172.80","196.40","196.40","196.40","199.40","202.40","205.40","211.40","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tajikistan","295.39","296.84","296.84","305.38","305.38","305.52","305.86","306.20","306.54","112.61","113.16","113.16","116.42","116.42","116.46","116.11","116.76","117.41","77.60","77.98","77.98","80.23","80.23","80.26","80.40","80.54","80.68","11.94","12.00","12.00","12.35","12.35","12.36","12.54","12.72","12.90","35.01","35.18","35.18","36.19","36.19","36.20","35.71","36.22","36.73"
"Thailand","17641.00","17011.00","16831.00","16359.00","16348.00","16345.00","16342.00","16339.00","16336.00","1720.00","1987.00","3242.00","3702.00","3669.00","3636.00","3603.00","3570.00","3537.00","1720.00","1987.00","3242.00","3702.00","3669.00","3636.00","3603.00","3570.00","3537.00","1720.00","1987.00","3242.00","3702.00","3669.00","3636.00","3603.00","3570.00","3537.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Timor-Leste","963.10","949.10","935.10","928.10","926.70","925.30","923.90","922.50","921.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Togo","1340.99","1234.46","1191.54","1170.08","1165.79","1161.50","1157.21","1152.92","1148.63","20.67","34.00","47.33","54.00","55.34","56.68","58.02","59.36","60.70","16.54","27.20","37.86","43.20","44.27","45.34","46.41","47.48","48.55","","","","","","","","","","4.13","6.80","9.47","10.80","11.07","11.34","11.61","11.88","12.15"
"Tokelau (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tonga","7.95","7.95","7.95","7.95","7.95","7.95","7.95","7.95","7.95","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Trinidad and Tobago","158.68","155.95","150.90","149.59","149.17","148.75","148.33","147.91","147.49","83.38","80.70","80.70","80.70","80.70","80.70","80.70","80.70","80.70","60.00","60.00","60.00","60.00","60.00","60.00","60.00","60.00","60.00","60.00","60.00","60.00","60.00","60.00","60.00","60.00","60.00","60.00","23.38","20.70","20.70","20.70","20.70","20.70","20.70","20.70","20.70"
"Tunisia","491.06","490.65","489.71","488.99","488.84","488.70","488.56","488.42","488.28","152.92","177.20","197.72","206.09","207.76","209.44","211.12","212.80","214.48","50.49","58.64","65.68","68.63","69.22","69.81","70.40","70.99","71.58","35.06","40.80","45.84","48.00","48.43","48.87","49.31","49.75","50.19","102.43","118.56","132.04","137.46","138.54","139.63","140.72","141.81","142.90"
"Turkey","19237.50","19592.65","20461.07","20932.19","20929.21","21049.76","21200.71","21351.90","21503.02","545.98","555.70","622.01","698.11","701.09","702.70","707.65","712.46","717.34","545.98","555.70","622.01","698.11","701.09","702.70","707.65","712.46","717.34","18.05","19.90","38.78","52.65","69.64","64.07","45.64","64.96","65.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Turkmenistan (Desk study)","4127.00","4127.00","4127.00","4127.00","4127.00","4127.00","4127.00","4127.00","4127.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Turks and Caicos Islands (Desk study)","10.52","10.52","10.52","10.52","10.52","10.52","10.52","10.52","10.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tuvalu","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Uganda","3405.50","2894.58","2383.66","2128.21","2077.11","2026.02","1974.93","1923.84","1872.75","169.97","268.36","366.76","415.96","425.80","435.64","445.48","455.32","465.16","169.97","268.36","366.76","415.96","425.80","435.64","445.48","455.32","465.16","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ukraine","4707.00","4815.00","4731.00","4785.00","4815.00","4820.00","4825.00","4836.00","4842.00","4567.00","4695.00","4817.00","4872.00","4849.00","4851.00","4853.00","4848.00","4848.00","303.00","331.00","343.00","368.00","368.00","368.00","368.00","368.00","370.00","","","","","","","","","","4264.00","4364.00","4474.00","4504.00","4481.00","4483.00","4485.00","4480.00","4478.00"
"United Arab Emirates (Desk study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","344.00","344.00","344.00","344.00","344.00","344.00","344.00","344.00","344.00","2434.00","2610.00","2715.00","2811.00","2815.00","2820.00","2829.00","2838.00","2846.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2434.00","2610.00","2715.00","2811.00","2815.00","2820.00","2829.00","2838.00","2846.00"
"United Republic of Tanzania","56836.97","53116.97","49396.97","47536.97","47067.97","46598.97","46129.97","45660.97","45191.97","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","553.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"United States of America","284512.00","280976.00","283156.00","283731.00","283731.00","282274.00","282274.00","282274.00","282274.00","17938.00","22560.00","25564.00","26364.00","26364.00","27521.00","27521.00","27521.00","27521.00","6090.00","8722.00","12601.00","13144.00","13144.00","14029.00","14029.00","14029.00","14029.00","308.00","388.00","440.00","359.00","359.00","268.00","268.00","268.00","268.00","11848.00","13838.00","12963.00","13220.00","13220.00","13492.00","13492.00","13492.00","13492.00"
"United States Virgin Islands","24.54","20.47","18.43","19.16","19.31","19.46","19.61","19.76","19.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Uruguay","597.00","740.00","752.20","849.00","849.00","849.00","849.00","849.00","849.00","201.00","629.00","979.10","1071.00","1098.00","1119.00","1140.00","1161.00","1182.00","201.00","629.00","979.10","1071.00","1098.00","1119.00","1140.00","1161.00","1182.00","201.00","629.00","979.10","1071.00","1098.00","1119.00","1140.00","1161.00","1182.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Uzbekistan","1356.26","1416.42","1497.33","1393.40","1403.90","1408.67","1413.44","1418.21","1422.98","1193.11","1545.04","1852.27","2156.00","2182.40","2203.47","2224.54","2245.61","2266.68","616.82","975.57","1307.79","1598.64","1620.84","1580.24","1539.64","1499.04","1458.44","6.17","9.76","13.08","15.99","16.21","15.80","15.39","14.98","14.57","576.29","569.47","544.48","557.36","561.56","623.23","684.90","746.57","808.24"
"Vanuatu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Venezuela (Bolivarian Republic of)","51600.01","48411.44","46515.78","45329.41","45188.75","45072.75","44981.43","44914.76","44872.75","425.99","739.56","989.22","1353.59","1354.51","1355.43","1356.33","1357.24","1358.15","420.99","663.68","870.41","1234.77","1235.39","1236.01","1236.61","1237.22","1237.83","420.99","663.68","870.41","1234.77","1235.39","1236.01","1236.61","1237.22","1237.83","5.00","75.88","118.81","118.82","119.12","119.42","119.72","120.02","120.32"
"Viet Nam","8630.96","9864.53","10304.80","10175.53","10242.14","10236.42","10255.52","10274.62","10293.72","745.00","1919.57","3083.26","3886.33","4135.54","4178.97","4235.77","4292.57","4349.37","745.00","1919.57","3083.26","3886.33","4135.54","4178.97","4235.77","4292.57","4349.37","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Wallis and Futuna Islands (Desk study)","5.59","5.42","5.25","5.16","5.16","5.16","5.16","5.16","5.16","0.20","0.37","0.54","0.63","0.63","0.63","0.63","0.63","0.63","0.20","0.37","0.54","0.63","0.63","0.63","0.63","0.63","0.63","0.12","0.28","0.45","0.49","0.49","0.49","0.49","0.49","0.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Western Sahara (Desk study)","665.10","669.31","665.11","664.70","665.11","664.70","665.14","665.05","665.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Yemen","549.00","549.00","549.00","549.00","549.00","549.00","549.00","549.00","549.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Zambia","47355.00","46999.00","46641.53","45701.76","45513.99","45326.22","45137.45","44949.68","44761.91","57.00","55.00","54.47","53.24","53.01","52.78","52.55","52.32","52.09","57.00","55.00","53.37","49.38","48.59","47.80","47.01","46.22","45.43","57.00","55.00","53.37","49.38","48.59","47.80","47.01","46.22","45.43","0.00","0.00","1.10","3.86","4.42","4.98","5.54","6.10","6.66"
"Zimbabwe","18672.68","18245.98","17797.28","17566.93","17520.86","17474.79","17428.72","17382.65","17336.58","154.00","120.00","108.00","108.00","108.00","108.00","108.00","108.00","108.00","154.00","120.00","108.00","108.00","108.00","108.00","108.00","108.00","108.00","154.00","120.00","108.00","108.00","108.00","108.00","108.00","108.00","108.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"© FRA 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-01-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
