"","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )"
"","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020"
"Cayman Islands (Desk study)","13.13","12.93","12.72","12.72","12.72","12.72","12.72","12.72","12.72","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Central African Republic","23201.00","22901.00","22601.00","22451.00","22421.00","22391.00","22361.00","22331.00","22301.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Chad","6719.00","6339.00","5513.00","4872.00","4750.00","4632.00","4516.00","4403.00","4293.00","10.80","13.80","17.70","18.30","18.60","18.90","19.20","19.50","19.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.80","13.80","17.70","18.30","18.60","18.90","19.20","19.50","19.80"
"Chile","13599.75","13538.92","13894.87","14550.31","14662.93","14753.71","14844.48","14935.26","15026.03","1646.29","2278.14","2830.39","3045.77","3056.08","3088.24","3120.39","3152.55","3184.70","1646.29","2278.14","2830.39","3045.77","3056.08","3088.24","3120.39","3152.55","3184.70","1646.29","2278.14","2830.39","3045.77","3056.08","3088.24","3120.39","3152.55","3184.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"China","112988.60","122170.29","127286.23","131284.06","132214.56","132981.39","133748.22","134515.05","135281.88","44151.98","54830.25","73324.15","79010.22","80245.34","81358.08","82470.82","83583.56","84696.30","35321.58","38880.53","42186.99","42961.80","43332.48","43933.36","44534.24","45135.12","45736.00","4385.84","7162.59","10276.64","11780.43","12133.10","13619.34","13805.61","13991.89","14178.16","8830.40","15949.72","31137.16","36048.42","36912.86","37424.72","37936.58","38448.44","38960.30"
"Colombia","64861.14","62569.80","60426.49","59710.66","59532.09","59312.37","59113.08","58913.80","58714.51","97.00","165.70","381.30","424.00","427.40","427.40","427.40","427.40","427.40","97.00","165.70","381.30","424.00","427.40","427.40","427.40","427.40","427.40","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Comoros","42.55","39.27","36.00","34.35","34.02","33.69","33.37","33.04","32.71","3.51","2.41","1.31","0.76","0.65","0.54","0.43","0.32","0.21","3.51","2.41","1.31","0.76","0.65","0.54","0.43","0.32","0.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Congo","22255.50","22135.50","22015.50","21955.50","21943.50","21931.50","21916.50","21901.50","21886.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","59.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cook Islands","14.40","14.40","14.40","14.40","14.40","14.40","14.40","14.40","14.40","0.51","1.10","1.10","1.10","1.10","1.10","1.10","1.10","1.10","0.51","1.10","1.10","1.10","1.10","1.10","1.10","1.10","1.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Costa Rica","2880.80","2810.62","2804.20","2876.43","2890.80","2905.17","2919.53","2933.90","2948.27","26.60","46.60","66.60","76.60","78.60","80.60","82.60","84.60","86.60","26.60","46.60","66.60","76.60","78.60","80.60","82.60","84.60","86.60","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
